,Author
273,American Psychological Association
274,American Psychological Association
275,American Psychological Association
276,American Psychological Association
277,American Psychological Association
278,American Psychological Association
279,American Psychological Association
280,American Psychological Association
281,Golden Books
282,Susan Cain
283,Susan Cain
284,David Platt
285,David Platt
286,Ernest Cline
287,Ernest Cline
288,Rush Limbaugh
289,Rush Limbaugh
290,Samin Nosrat
291,Samin Nosrat
292,Tatiana de Rosnay
293,School Zone
294,School Zone
295,Johanna Basford
296,Justin Halpern
297,Tucker Carlson
298,Ian K. Smith M.D.
299,Charlaine Harris
300,Zhi Gang Sha
301,Walter Isaacson
302,Walter Isaacson
303,Nathan W. Pyle
304,Gallup
305,Gallup
306,Gallup
307,Gallup
308,Gallup
309,Gallup
310,Gallup
311,Gallup
312,Gallup
313,Steven D. Levitt
314,Chip Heath
315,John Grisham
316,Doug Lemov
317,Doug Lemov
318,Mike Moreno
319,Timothy Ferriss
320,Gary Chapman
321,Gary Chapman
322,Gary Chapman
323,Gary Chapman
324,Gary Chapman
325,Gary Chapman
326,Gary Chapman
327,Gary Chapman
328,Gary Chapman
329,Gary Chapman
330,W. Cleon Skousen
331,Stephen R. Covey
332,Stephen R. Covey
333,Stephen R. Covey
334,Stephen R. Covey
335,Stephen R. Covey
336,Stephen R. Covey
337,Stephen R. Covey
338,Paulo Coelho
339,Edward Klein
340,Garth Stein
341,Garth Stein
342,Michael Lewis
343,Rick Riordan
344,Mark Hyman M.D.
345,Bessel van der Kolk M.D.
346,Bill Simmons
347,Markus Zusak
348,Markus Zusak
349,B. J. Novak
350,B. J. Novak
351,Daniel James Brown
352,Daniel James Brown
353,J.K. Rowling
354,Thomas Campbell
355,Amy Ramos
356,Amy Ramos
357,John Grisham
358,Delegates of the Constitutional
359,Jon Stewart
360,Drew Daywalt
361,Drew Daywalt
362,Drew Daywalt
363,Pierre Dukan
364,Muriel Barbery
365,John Green
366,John Green
367,John Green
368,John Green
369,Patrick Lencioni
370,Patrick Lencioni
371,Patrick Lencioni
372,Patrick Lencioni
373,Patrick Lencioni
374,Gary Chapman
375,Don Miguel Ruiz
376,Don Miguel Ruiz
377,Don Miguel Ruiz
378,Don Miguel Ruiz
379,Don Miguel Ruiz
380,Don Miguel Ruiz
381,Jeff Kinney
382,Paula Hawkins
383,Paula Hawkins
384,Stieg Larsson
385,Stieg Larsson
386,Stieg Larsson
387,Stieg Larsson
388,Stieg Larsson
389,Stieg Larsson
390,Sandra Boynton
391,Sandra Boynton
392,Donna Tartt
393,Donna Tartt
394,F. Scott Fitzgerald
395,F. Scott Fitzgerald
396,F. Scott Fitzgerald
397,John Grisham
398,Mary Ann Shaffer
399,Margaret Atwood
400,Jonathan Cahn
401,Angie Thomas
402,Kathryn Stockett
403,Kathryn Stockett
404,Kathryn Stockett
405,Kathryn Stockett
406,Rick Riordan
407,Suzanne Collins
408,Suzanne Collins
409,Suzanne Collins
410,Suzanne Collins
411,Suzanne Collins
412,Rebecca Skloot
413,Rebecca Skloot
414,Rebecca Skloot
415,Laurel Randolph
416,Laurel Randolph
417,Randy Pausch
418,Rick Riordan
419,Rick Riordan
420,Patrick Thorpe
421,Daniel Lipkowitz
422,Daniel Lipkowitz
423,Marie Kondō
424,Marie Kondō
425,Marie Kondō
426,Marie Kondō
427,John Grisham
428,Rick Riordan
429,Dan Brown
430,Stephen Kendrick
431,Chip Gaines
432,Rick Riordan
433,Andy Weir
434,James Dashner
435,Jeff Kinney
436,The Washington Post
437,Kristin Hannah
438,Kristin Hannah
439,The College Board
440,The College Board
441,The College Board
442,The College Board
443,The College Board
444,The College Board
445,Paula McLain
446,Ree Drummond
447,Ree Drummond
448,Ree Drummond
449,Dr. Steven R Gundry MD
450,Dr. Steven R Gundry MD
451,Deborah Diesen
452,Deborah Diesen
453,Charles Duhigg
454,James Patterson
455,John Grisham
456,Rick Riordan
457,F. A. Hayek
458,Rick Riordan
459,William P. Young
460,William P. Young
461,Stephenie Meyer
462,Alex Michaelides
463,Rick Riordan
464,Mark Manson
465,Mark Manson
466,Mark Manson
467,Rupi Kaur
468,Jeff Kinney
469,Rick Riordan
470,Audrey Niffenegger
471,Malcolm Gladwell
472,Dave Ramsey
473,Stephenie Meyer
474,Jeff Kinney
475,Dinah Bucholz
476,Eric Carle
477,Eric Carle
478,Eric Carle
479,Eric Carle
480,Eric Carle
481,Eric Carle
482,Eric Carle
483,Melissa Hartwig Urban
484,Melissa Hartwig Urban
485,Melissa Hartwig Urban
486,Emily Winfield Martin
487,Emily Winfield Martin
488,Emily Winfield Martin
489,Emily Winfield Martin
490,Craig Smith
491,Craig Smith
492,David McCullough
493,Charles Krauthammer
494,Daniel Kahneman
495,Daniel Kahneman
496,Jay Asher
497,Jon Meacham
498,Greg Mortenson
499,Greg Mortenson
500,Thug Kitchen
501,Thug Kitchen
502,Thug Kitchen
503,Thug Kitchen
504,Tina Fey
505,Harper Lee
506,Harper Lee
507,Harper Lee
508,Harper Lee
509,Harper Lee
510,Timothy Ferriss
511,Robert Jordan
512,Edward M. Kennedy
513,Stephenie Meyer
514,DK
515,Laura Hillenbrand
516,Laura Hillenbrand
517,Laura Hillenbrand
518,Laura Hillenbrand
519,Laura Hillenbrand
520,Stephen King
521,Mark R. Levin
522,Silly Bear
523,Lysa TerKeurst
524,Alan Moore
525,Sara Gruen
526,Hillary Rodham Clinton
527,Randall Munroe
528,Dr. Seuss
529,Adir Levy
530,Heidi Murkoff
531,William Davis
532,William Davis
533,Paul Kalanithi
534,Delia Owens
535,Maurice Sendak
536,The Staff of The Late Show with
537,Cheryl Strayed
538,Ken Follett
539,Geneen Roth
540,R. J. Palacio
541,R. J. Palacio
542,R. J. Palacio
543,R. J. Palacio
544,R. J. Palacio
545,Jeff Kinney
546,Jen Sincero
547,Jen Sincero
548,Jen Sincero
549,Jen Sincero
